Avg. Area Income;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price
Alexastad;;;;
58.956.261.848.603.600;74.947.583.677.454;6.08;3.852.964.116.656.630;12.372.461.448.766.000
West Elizabeth;;;;
6.925.390.435.140.710;8.513.970.633.376.150;3.44;22.524.578.480.324.000;12.597.336.438.110.700
South Josephview;;;;
4.754.963.997.167.720;8.027.166.288.148.280;5.28;43.526.161.527.709.300;10.289.143.150.464.900
Andrewbury;;;;
7.327.188.723.417.030;6.809.012.996.032.300;3.33;39.446.313.057.217.700;13.882.185.294.499.400
North Brandi;;;;
61.478.633.929.567.300;6.231.330.171.147.560;4.26;3.683.781.793.095.740;6.371.899.593.712.330
Berryfort;;;;
62.317.214.266.098.600;7.003.715.444.800.070;3.35;47.836.246.135.548.600;17.175.705.299.038.400
Sabrinaton;;;;
6.546.419.838.733.240;735.013.083.869.489;4.09;2.606.569.265.979.240;7.296.885.926.317.390
West Harold;;;;
8.788.358.428.655.860;58.890.380.378.436.800;3.39;4.101.262.101.028.540;20.491.466.298.961.300
"APO AE 26084""";;;;
6.781.925.457.569.830;6.835.480.533.799.840;3.47;375.155.389.962.956;13.407.051.192.224.300
Fordmouth;;;;
6.565.958.698.406.240;4.620.870.485.510.200;2.43;40.337.234.249.461.800;9.809.832.109.523.580
North Michael;;;;
6.882.755.503.334.350;6.728.670.337.814.400;2.37;45.935.961.642.547.600;15.181.694.438.087.600
Davidville;;;;
711.527.561.716.621;7.487.300.003.447.560;3.3;40.951.239.299.808.300;10.028.402.285.939.900
Jamesside;;;;
8.093.963.457.319.640;7.647.145.424.949.510;3.31;2.777.154.450.515.450;14.999.205.935.294.200
New Mary;;;;
6.686.059.190.903.590;7.165.037.718.526.760;5.39;36.035.541.901.365.300;1.496.577.458.586.560
Nataliemouth;;;;
6.431.450.620.282.560;70.657.095.737.970.200;6.49;37.217.643.378.804.200;15.269.153.490.131.200
New Traviston;;;;
6.386.710.458.877.540;8.958.300.171.533.950;4.02;1.452.265.907.136.940;917.610.888.395.342
West Alisonberg;;;;
8.122.007.057.458.510;677.698.348.530.293;2.49;32.859.517.646.963.500;15.729.903.735.681.800
Mcclainview;;;;
60.880.583.869.524.600;710.210.911.300.952;3.06;4.287.751.748.680.950;9.594.164.366.620.410
North Mark;;;;
665.533.991.186.278;6.876.883.493.387.010;2.15;23.632.230.414.746.800;9.600.839.968.510.190
Spencerchester;;;;
7.289.624.800.152.270;7.993.383.501.472.960;3.41;40.426.526.701.593.000;15.260.256.590.792.200
New Laura;;;;
59.160.093.351.941.700;7.046.225.211.232.700;3.17;2.325.290.621.275.730;10.068.858.444.127.000
"APO AP 49388""";;;;
66.412.826.645.403;5.564.071.863.260.720;3.27;50.996.644.759.687.000;1.105.105.053.319.630
Shannonbury;;;;
6.702.644.048.519.940;5.560.293.965.222.330;2.41;2.767.788.278.034.060;6.258.807.320.537.640
Sharonburgh;;;;
7.715.191.216.761.010;8.177.380.329.072.990;4.12;2.711.779.842.753.440;17.998.272.201.704.400
Lake Brandon;;;;
6.979.915.197.609.920;5.966.318.330.035.970;4.14;38.340.731.395.560.500;1.152.798.578.967.200
"DPO AP 61699-0044""";;;;
55.768.791.917.271.100;6.007.036.493.751.100;4.16;47.989.680.210.941.400;8.460.959.673.147.100
Annefurt;;;;
8.169.917.667.455.610;7.333.742.043.739.150;3.43;1.950.202.714.419.970;13.878.648.896.270.700
Philiphaven;;;;
57.367.831.887.889.300;8.861.871.791.965.710;4.34;4.773.410.221.371.970;14.142.867.224.241.200
Lake Daniellechester;;;;
804.887.893.072.555;4.956.271.804.541.230;2.41;36.743.268.339.026.400;12.733.087.102.709.200
Lawrencefurt;;;;
680.911.796.758.218;7.502.955.794.770.930;3.1;4.455.737.965.578.720;1.489.648.017.667.950
Gracetown;;;;
8.258.758.643.767.030;6.674.060.503.097.550;3.46;5.593.222.273.282.900;17.659.882.635.372.100
Jameschester;;;;
57.407.723.412.438.800;6.473.828.031.805.410;2.19;27.117.892.100.255.800;9.341.116.355.005.290
South Paulberg;;;;
6.433.246.664.353.190;8.110.186.760.140.820;5.37;3.081.259.819.079.950;10.958.794.433.997.100
New Cory;;;;
6.603.973.843.530.680;9.067.212.171.154.350;6.48;1.561.267.720.593.720;8.763.488.176.248.390
West Ashley;;;;
62.397.079.733.818.000;6.428.539.207.716.240;3.41;4.073.987.734.726.710;854.945.506.711.949
Ellisfurt;;;;
8.481.086.806.721.130;6.876.552.907.616.000;2.21;28.392.290.355.628.200;13.497.431.463.910.800
Jeffreyport;;;;
670.512.502.651.522;7.306.146.377.489.360;3.18;3.973.570.448.834.470;9.708.255.963.839.750
Freemanside;;;;
8.390.737.140.839.780;6.580.437.420.892.050;3.28;4.609.178.912.865.950;17.960.095.040.461.600
New Michellebury;;;;
62.345.822.602.157.800;6.408.996.608.011.620;4.25;4.198.290.666.583.770;9.344.923.423.844.690
Rebeccatown;;;;
6.096.046.353.984.240;7.768.933.627.748.560;3.4;28.171.985.010.499.300;5.840.612.474.302.100
East Kevinfort;;;;
6.835.372.575.088.840;7.424.003.894.389.680;5.41;2.780.483.013.471.190;8.958.455.654.869.690
Joseland;;;;
5.866.155.679.518.300;660.660.231.703.992;4.46;17.467.944.233.636.900;6.960.401.299.034.550
Williamfort;;;;
6.613.100.222.863.030;664.961.024.254.292;2.48;409.795.303.858.896;12.041.373.233.669.400
West Jeremystad;;;;
6.735.123.818.568.360;63.808.181.989.736.100;4.4;47.175.787.662.606.100;14.137.297.574.052.100
Oneillton;;;;
59.933.137.988.356.300;6.457.118.895.639.730;3.2;28.593.009.207.270.300;6.078.737.727.559.930
Hinesland;;;;
6.084.049.097.128.430;6.501.809.752.009.940;2.47;3.624.130.098.912.790;9.710.994.753.986.850
New Gina;;;;
9.471.211.582.194.550;51.362.801.256.376.900;2.29;49.411.887.827.032.300;17.140.558.368.001.100
Annetteberg;;;;
744.692.135.666.335;7.969.953.132.963.170;3.02;46.500.057.425.016.000;19.564.386.514.352.500
South Heatherton;;;;
7.875.339.011.287.780;89.280.961.018.376;3.43;5.035.027.064.771.070;20.130.157.460.613.800
Sheliabury;;;;
8.023.322.830.063.220;703.476.598.759.557;5.3;26.263.054.962.893.100;13.904.975.661.776.800
Owenschester;;;;
8.447.327.338.490.630;70.010.997.267.991.500;4.42;3.160.806.227.365.350;15.294.520.617.767.300
Dawnbury;;;;
7.804.960.464.779.610;5.931.333.447.357.810;3.5;42.857.370.958.479.200;11.432.150.294.731.200
Gordontown;;;;
9.317.848.670.213.210;7.253.842.718.514.700;6.45;42.808.647.778.201.200;1.949.577.954.405.670
West Adrianstad;;;;
6.994.935.407.378.760;5.959.743.409.180.050;4.32;3.735.820.126.641.250;10.577.992.416.354.200
South Chelsea;;;;
8.590.337.585.906.060;674.762.787.805.348;2.07;25.593.117.922.402.500;1.585.873.833.196.510
Robertton;;;;
6.528.363.689.133.870;7.399.011.013.891.650;4.08;3.782.471.167.204.170;11.689.937.588.005.500
Ryanfurt;;;;
7.919.181.761.979.540;5.873.084.078.239.490;4.01;35.107.139.075.241.000;14.319.159.770.081.600
East Amandatown;;;;
7.224.259.666.224.580;75.130.128.431.077.100;6.43;43.987.877.128.801.200;14.094.390.758.724.700
Lake Samantha;;;;
6.312.575.537.935.250;7.877.242.793.471.770;3.29;5.121.899.898.813.280;14.967.243.806.064.800
Amymouth;;;;
7.858.126.189.770.770;730.373.218.506.719;4.31;50.891.202.389.717.300;1.566.567.883.138.690
Medinashire;;;;
5.948.178.200.558.210;7.545.438.447.264.440;4.31;31.200.967.833.100.900;9.861.132.394.973.050
West Tiffanyfort;;;;
6.677.022.002.635.720;6.619.484.577.189.260;4.47;3.323.833.273.601.450;8.856.115.782.624.660
Derekton;;;;
753.685.886.914.241;6.634.890.166.969.010;3.24;32.075.267.518.907.400;11.022.595.385.569
"APO AE 32543""";;;;
60.419.890.760.749.000;69.638.754.756.983.200;2.36;3.827.292.155.985.280;12.681.258.377.629.900
Bridgetport;;;;
7.855.512.950.347.400;6.439.048.721.458.490;4.34;34.514.158.561.094.900;15.806.916.168.731.600
New Jason;;;;
8.207.352.161.741.920;70.899.301.935.511.100;4.23;3.633.702.712.143.870;11.286.444.616.760.000
Jameshaven;;;;
6.425.416.327.142.640;8.629.541.561.182.290;4.19;5.805.103.904.696.990;1.524.689.063.301.800
Parksmouth;;;;
5.343.258.656.893.660;855.389.539.300.312;5.3;36.804.948.671.229.600;11.764.205.593.819.100
West Jacquelineland;;;;
6.788.312.866.759.200;75.841.883.957.976.300;5.41;3.463.941.154.347.620;1.456.273.723.935.140
Hernandezfort;;;;
9.183.298.968.672.240;7.598.933.045.252.060;4.45;3.110.511.339.241.050;17.775.164.494.720.000
North Susantown;;;;
7.067.087.889.394.360;6.477.494.892.535.110;3.17;2.359.215.758.825.930;12.379.028.200.737.400
Shaunburgh;;;;
7.031.542.926.506.110;6.486.461.750.760.260;4.33;496.979.327.855.632;13.857.835.170.925.100
Wolftown;;;;
4.836.298.195.153.160;8.252.002.287.640.460;4.19;4.935.412.973.208.950;10.351.258.566.511.900
South Michelle;;;;
7.402.213.941.948.050;557.541.385.047.989;4.2;3.005.343.718.853.060;1.358.899.686.177.900
"DPO AA 50317""";;;;
6.518.271.262.513.140;8.197.046.930.732.840;6.11;4.810.911.230.469.960;13.111.459.682.970.800
Caseyshire;;;;
54.048.691.053.825;7.841.066.299.433.190;5.2;4.217.796.629.192.020;9.199.269.985.237.200
North Brenda;;;;
7.228.394.853.234.420;5.632.025.806.681.980;4.09;4.027.739.453.827.040;9.858.660.316.492.670
South Sheilachester;;;;
8.247.602.893.467.880;6.320.001.130.486.400;3.39;30.985.336.523.930.500;11.962.048.862.624.600
Wrightshire;;;;
7.977.183.046.959.260;7.212.339.702.286.170;5.05;3.061.154.332.843.360;1.435.981.219.914.460
Mcdanielchester;;;;
5.723.616.688.957.650;7.974.419.343.059.430;3.28;24.726.104.743.705.700;7.528.001.475.251.730
New Frederick;;;;
43.952.336.213.929.200;7.327.671.148.356.500;4.41;25.139.449.943.535.500;3.249.819.929.926.850
Emilyshire;;;;
5.672.145.495.225.080;7.541.687.950.134.260;3.46;2.290.414.663.578.880;11.276.375.573.666.000
Carrstad;;;;
5.665.496.239.019.520;53.367.782.194.170.400;3.31;25.801.965.928.848.900;23.931.993.417.545.100
Lake Laurie;;;;
4.018.573.389.147.770;5.753.579.051.240.720;4.01;3.776.666.757.213.730;5.292.820.843.920.940
Shanefort;;;;
7.122.738.881.469.190;8.006.614.296.026.440;4.21;2.009.629.141.718.860;1.455.691.796.506.950
Chambersstad;;;;
52.444.863.862.574.700;7.162.284.528.414.500;4.38;39.288.460.146.024.500;13.715.273.270.118.200
Millerland;;;;
568.257.473.261.952;77.928.758.946.265.800;6.46;4.347.477.737.887.540;12.314.521.888.837.500
Camachoside;;;;
5.562.189.910.395.660;6.868.290.757.394.460;2.3;63.184.613.147.230.300;110.264.111.402.327
Collinstown;;;;
665.100.093.229.711;55.275.865.895.779.000;2.47;29.293.618.951.811.800;7.582.626.121.106.530
South Dawntown;;;;
62.639.159.808.276.400;5.457.060.934.698.820;2.27;27.812.685.913.765.600;4.769.714.559.427.720
Turnerton;;;;
7.945.282.305.817.700;690.729.663.198.371;4.49;44.852.092.495.039.300;17.066.899.397.544.100
West Emma;;;;
8.313.739.364.212.750;5.790.228.358.629.580;2.46;30.482.564.587.483.900;10.797.451.185.021.400
"DPO AE 06786-3524""";;;;
6.914.347.075.890.640;6.811.614.747.396.240;4.28;244.052.827.202.131;7.665.943.397.096.980
North Bradley;;;;
682.776.727.800.225;54.119.531.029.997.500;3.46;3.809.986.748.550.600;9.050.452.177.063.720
New Peggy;;;;
7.225.103.755.476.080;7.147.346.333.159.280;4.3;3.487.859.725.281.930;14.251.147.177.661.400
West Pamela;;;;
7.137.397.903.539.950;7.104.610.564.519.230;5.32;51.509.599.291.698.600;15.125.424.410.778.300
Mendozastad;;;;
8.150.347.406.014.870;6.724.439.169.509.670;3.15;4.667.436.500.679.370;16.503.421.306.428.000
Seanmouth;;;;
60.569.199.933.580.600;8.416.866.964.430.870;3.23;16.351.202.874.057.500;11.125.484.789.896.800
Lindatown;;;;
726.835.298.750.081;6.753.219.361.038.820;3.47;18.539.100.697.544.800;942.508.962.238.668
Grimesside;;;;
7.376.356.610.588.340;7.721.937.077.718.250;4.43;3.855.070.736.292.780;1.642.844.648.635.580
Clarkberg;;;;
7.578.062.112.250.900;7.090.924.493.584.600;4.45;3.494.498.176.104.170;10.787.132.270.293.700
Hamiltonstad;;;;
7.788.287.702.005.170;7.036.667.011.921.420;6.01;2.752.874.641.975.040;13.338.654.377.201.400
East Jaredfurt;;;;
7.060.837.229.447.370;728.118.344.207.785;3.36;2.438.760.789.571.020;6.840.499.193.111.220
North Dawnshire;;;;
6.778.287.109.404.430;802.778.505.010.317;6.24;46.608.226.117.185.600;13.110.674.456.660.400
North Alishafurt;;;;
5.771.475.253.464.830;7.798.048.421.165.120;5.4;5.310.099.890.821.940;11.721.334.868.414.900
Johnstad;;;;
8.861.386.990.128.870;7.559.136.434.323.110;5.17;4.290.509.538.060.700;14.195.362.589.499.200
Lake Mary;;;;
7.355.942.856.263.320;6.962.139.585.714.700;4.39;34.374.591.199.644.200;12.884.266.939.028.500
South William;;;;
8.177.562.654.619.160;7.496.476.798.320.890;6.34;30.070.728.060.908.300;15.009.398.265.608.600
West Kristin;;;;
42.462.099.587.312.500;8.058.236.767.739.710;4.18;42.191.776.016.416.900;10.000.871.206.321.400
Port Phillip;;;;
7.209.685.211.189.120;9.321.334.129.741.960;3.32;315.843.793.734.367;14.577.675.326.477.300
Waynetown;;;;
4.392.199.998.719.330;74.058.879.517.249.700;5.08;4.225.079.603.197.360;7.479.334.869.386.140
South Emilychester;;;;
6.411.495.832.311.570;7.336.962.829.683.280;3.32;25.273.207.851.678.700;10.247.382.849.269.800
Lake Kathystad;;;;
7.757.387.071.050.300;8.005.913.673.905.320;3.09;3.905.511.426.283.600;1.517.666.854.519.620
Angelastad;;;;
7.003.683.153.432.560;61.695.121.751.957.100;2.33;2.506.426.711.967.290;9.538.406.976.020.300
East Marymouth;;;;
7.118.373.750.529.330;7.401.814.643.488.830;4.09;4.695.501.012.923.140;13.754.979.729.216.100
North Jasmine;;;;
6.731.559.537.240.110;8.854.531.011.287.870;4.15;37.811.208.875.140.400;16.455.300.559.431.800
Alexiston;;;;
7.281.380.168.675.960;820.404.715.388.475;3.42;3.501.484.821.416.970;17.270.069.506.782.200
West Lisa;;;;
730.233.256.097.092;8.156.580.335.469.950;5.0;4.051.289.326.740.040;15.973.304.114.850.000
Candiceland;;;;
6.756.987.705.498.300;6.702.655.680.753.090;4.11;4.905.487.129.695.440;16.882.793.081.102.400
South Amber;;;;
6.997.285.224.982.890;7.295.573.321.677.200;4.3;3.781.549.403.532.150;13.983.102.001.422.900
Hallbury;;;;
7.323.105.159.394.710;5.108.517.591.632.410;3.08;40.788.109.278.329.800;1.100.093.909.275.260
Jenniferchester;;;;
805.777.306.842.991;7.690.169.183.030.460;5.15;3.646.303.326.830.580;15.055.605.399.742.400
West David;;;;
64.754.565.448.887.600;5.672.823.578.720.350;2.16;27.143.016.922.477.100;11.059.906.937.738.700
Ashleyberg;;;;
55.435.643.780.465.100;7.882.091.494.816.680;5.12;23.503.160.639.672.800;7.890.438.511.966.030
Stanleyton;;;;
6.551.066.002.904.730;54.325.887.299.502.800;2.26;4.511.181.138.755.740;7.563.197.340.442.670
"APO AE 48198-5637""";;;;
8.285.594.000.381.270;8.213.717.354.572.600;5.37;3.695.433.555.676.740;18.567.827.829.208.500
North Alfredside;;;;
893.384.533.739.702;6.611.314.225.797.690;3.22;4.126.490.671.543.540;1.222.020.821.335.910
Cunninghamville;;;;
4.599.012.374.178.140;7.207.150.836.054.910;3.36;41.553.839.562.305.000;10.439.683.994.445.300
West Thomas;;;;
7.680.149.677.767.180;7.343.435.591.828.480;5.44;48.481.664.506.376.300;16.732.942.461.963.800
Brandonstad;;;;
6.160.692.173.744.270;6.004.365.015.081.180;2.06;4.049.606.976.891.660;1.325.860.533.421.930
"DPO AP 60371-0797""";;;;
6.542.831.170.267.170;7.640.040.242.343.180;5.41;3.314.130.822.618.050;1.236.044.315.553.220
New Michelle;;;;
5.669.758.514.776.180;64.634.550.677.305.000;2.13;37.973.363.339.941.700;10.307.596.998.373.700
Juliefurt;;;;
9.215.166.658.372.380;6.509.836.776.534.060;2.21;37.067.682.458.651.100;16.095.818.042.977.200
South Scottbury;;;;
7.855.593.285.059.990;6.211.583.195.869.270;3.39;29.758.999.722.653.400;12.922.870.948.426.900
South Tiffanytown;;;;
7.220.415.621.550.730;7.617.082.958.012.170;5.25;28.943.157.635.514.400;10.576.977.028.297.900
Austinland;;;;
51.741.870.969.719.500;4.406.835.937.850.680;2.45;32.730.929.711.979.700;7.681.527.910.253.730
South Megan;;;;
7.108.211.277.672.210;6.699.729.139.599.940;4.36;31.327.518.878.734.900;1.513.427.551.164.360
Costastad;;;;
7.132.870.444.051.370;6.932.756.350.447.910;4.36;28.053.016.396.977.700;14.294.976.171.416.500
New Timothymouth;;;;
6.715.006.068.981.520;7.842.278.374.422.230;3.01;3.991.787.888.580.140;13.769.699.288.002.900
New Lisa;;;;
5.977.737.268.844.610;5.709.652.813.938.660;2.43;3.783.651.781.926.220;6.147.007.371.485.090
Alyssastad;;;;
6.272.540.054.038.700;7.053.248.075.621.500;5.39;19.750.689.081.038.100;7.806.089.935.174.570
Tylerhaven;;;;
655.334.149.245.086;6.727.120.954.140.350;4.37;2.500.219.225.225.960;85.654.894.412.853
"APO AA 84355-0532""";;;;
7.829.370.356.130.480;6.600.855.739.232.920;2.23;4.712.553.294.160.800;16.560.800.890.892.600
Bettyport;;;;
7.437.133.687.656.340;6.728.642.774.945.410;4.27;3.318.670.175.765.980;12.499.140.785.097.100
West Michael;;;;
5.666.440.438.861.430;62.360.059.846.528.500;2.13;283.642.866.607.879;8.174.604.216.248.230
Moseschester;;;;
6.005.890.615.447.560;59.826.694.766.018.300;4.38;33.581.823.708.989.600;9.908.931.600.715.700
New Sarahfurt;;;;
63.757.051.474.124.800;8.084.123.473.514.090;4.1;2.724.443.911.301.610;9.720.795.875.536.920
Heathershire;;;;
8.102.660.677.735.890;8.133.307.932.262.170;4.29;24.407.243.175.577.700;1.349.989.646.728.480
"FPO AA 50443-5069""";;;;
8.368.336.054.348.400;7.167.066.816.637.950;3.48;38.399.835.710.872.200;13.035.422.825.080.700
New Melanieborough;;;;
5.610.391.700.162.960;4.129.733.360.831.910;3.4;4.133.060.855.618.450;5.937.661.847.676.770
Farrellside;;;;
6.745.421.309.655.270;7.573.134.683.927.580;4.1;4.923.740.432.399.910;12.439.188.107.245.000
West Samanthashire;;;;
6.763.123.514.352.600;6.491.297.608.638.340;2.32;24.624.647.796.888.800;1.395.855.656.281.700
Davisbury;;;;
5.298.802.959.564.330;7.098.708.924.143.650;3.44;3.779.101.751.347.700;1.112.314.302.911.400
West Donaldside;;;;
59.549.913.909.141.300;5.943.765.121.754.640;2.34;1.490.624.662.084.760;8.500.101.815.527.300
Mitchellfurt;;;;
58.832.504.039.795.100;7.559.578.680.672.390;5.13;3.020.010.650.861.310;93.178.761.793.679
Randyport;;;;
7.671.737.133.622.300;6.061.395.448.697.800;4.45;34.944.068.604.684.300;10.111.407.992.689.400
New Michaelfort;;;;
7.342.283.219.601.620;46.939.469.300.755;3.42;50.997.649.707.447.600;11.904.421.227.402.500
Jesusshire;;;;
5.912.831.877.466.790;5.571.042.790.526.570;2.23;4.559.238.757.613.130;9.161.402.212.497.430
Lake Meganton;;;;
6.561.478.487.305.320;7.610.386.208.439.970;6.5;393.536.839.322.159;12.220.450.908.874.600
South Deborahberg;;;;
6.885.140.200.053.380;6.771.951.062.173.930;2.34;2.212.154.729.015.610;123.215.601.224.821
Lake Lauraborough;;;;
43.531.856.588.705.700;6.885.661.621.974.120;2.14;3.738.885.260.455.210;6.527.529.727.099.420
Summerston;;;;
53.763.528.010.829.600;7.533.218.756.333.180;5.15;32.306.668.519.064.600;12.198.469.185.098.200
Rothfort;;;;
6.894.840.632.844.380;8.258.065.886.510.110;5.06;40.078.543.566.705.500;20.509.884.966.792.700
Cummingsberg;;;;
7.079.529.884.922.340;7.582.601.532.072.400;3.35;2.988.745.168.084.390;13.590.528.457.646.800
Troyfort;;;;
7.244.369.473.006.500;800.012.082.307.969;6.22;31.190.670.697.535.800;13.087.730.784.993.500
Lake Judyhaven;;;;
827.816.493.352.588;7.511.383.043.640.340;4.14;3.958.795.296.455.580;15.739.989.022.596.600
West Carlos;;;;
6.742.864.355.979.190;7.565.060.629.398.890;6.36;4.089.702.521.282.190;11.829.806.042.717.100
"APO AA 83963""";;;;
6.584.130.878.577.280;6.490.281.845.219.810;2.07;48.253.276.636.479.600;10.298.616.229.008.400
Ricehaven;;;;
722.575.095.710.798;6.713.334.010.551.020;4.32;3.354.304.806.432.770;10.859.430.760.246.000
Port Joanne;;;;
7.424.374.683.739.450;78.024.376.075.531;4.27;4.032.823.343.684.350;17.133.513.941.515.000
"APO AA 78454-0482""";;;;
7.175.858.761.708.710;69.096.769.013.295.200;2.2;4.211.514.601.691.980;12.976.193.482.987.200
"APO AP 10621""";;;;
6.751.112.733.496.080;6.801.278.162.438.050;3.36;2.316.254.733.803.260;10.960.528.677.200.100
Port Jacob;;;;
7.130.100.706.776.920;8.452.274.921.378.820;4.03;4.486.950.694.756.130;1.920.527.529.755.650
Lake Sarah;;;;
5.578.447.533.705.710;61.766.595.649.697.300;2.34;2.930.417.221.617.740;1.035.171.059.640.790
Port Garystad;;;;
6.684.069.531.523.020;7.044.911.117.703.620;6.28;3.270.594.933.115.120;1.218.011.060.787.830
Meyermouth;;;;
5.809.804.983.671.040;6.449.420.818.320.210;3.42;43.299.010.773.284.500;11.067.050.110.905.300
"FPO AA 64897-0998""";;;;
6.625.214.478.922.780;570.967.182.645.133;3.14;3.365.623.096.067.290;6.649.788.737.768.900
Patriciahaven;;;;
7.322.620.051.200.860;7.194.271.725.556.020;4.03;30.464.044.036.834.500;13.161.293.090.572.600
Toddchester;;;;
7.013.851.255.772.640;6.599.789.183.606.880;4.37;3.343.411.258.912.060;1.398.760.046.508.380
"APO AA 16531-0242""";;;;
650.416.913.063.262;6.088.335.077.745.850;4.17;14.486.825.952.391.300;7.597.998.758.389.650
Luiston;;;;
6.816.707.984.417.690;6.658.310.365.614.530;2.47;13.977.629.784.505.900;776.906.326.934.832
Petersview;;;;
61.300.753.517.797.700;7.869.698.636.325.690;4.42;29.408.946.391.698.400;9.719.289.868.990.350
North Alexandria;;;;
65.175.548.220.437.500;6.711.383.337.467.210;3.45;29.829.062.800.820.000;11.800.914.978.196.900
Tanyashire;;;;
790.375.215.744.165;65.723.676.986.902.300;2.24;30.037.991.348.371.600;12.017.856.666.717.900
West Stephanie;;;;
7.598.580.471.830.710;738.555.504.093.928;5.34;50.003.086.586.368.500;15.912.347.734.067.700
North Mike;;;;
35.963.330.809.062.800;8.264.121.726.134.200;3.28;24.435.777.301.862.800;14.302.736.445.248.100
South Michaelhaven;;;;
6.506.990.172.071.450;5.729.563.124.170.570;3.45;3.677.829.264.008.210;1.091.143.398.762.320
Whiteville;;;;
60.712.197.689.445.100;701.005.188.921.746;3.29;47.783.304.889.982.600;12.491.736.911.755.200
East Kimberlyborough;;;;
7.745.619.159.893.600;8.038.649.955.104.030;3.29;4.558.192.160.606.440;2.002.028.631.998.700
Port Ericfort;;;;
6.137.032.348.975.750;6.606.743.696.723.630;4.3;20.600.511.000.269.700;8.245.408.963.674.720
East Kevinside;;;;
7.986.328.593.632.920;6.376.060.218.233.440;3.05;3.504.826.333.847.520;151.152.692.112.864
West Timothyberg;;;;
5.798.095.419.019.490;819.557.909.827.194;6.31;25.053.974.898.039.900;9.942.575.352.248.870
South Hailey;;;;
63.600.686.992.929.300;5.728.417.582.633.540;2.03;5.353.919.695.227.360;13.452.965.544.381.700
Port Daniel;;;;
6.211.352.207.074.280;832.855.599.528.304;6.02;2.940.114.446.297.040;11.663.996.717.979.200
Port Philipchester;;;;
8.281.089.478.564.350;68.065.360.546.886.400;4.39;39.779.647.229.715.700;18.209.812.191.220.200
East Nicholas;;;;
6.938.083.776.857.430;6.115.470.080.853.520;4.16;2.532.768.669.623.830;10.239.654.034.107.300
Gouldview;;;;
6.963.204.045.808.850;5.563.805.067.980.930;2.22;34.641.565.084.709.200;8.893.859.015.842.590
"FPO AP 57241-4816""";;;;
6.037.760.711.490.160;7.035.223.613.688.980;4.06;29.114.288.143.061.000;6.167.382.083.315.280
Marisaland;;;;
8.210.349.933.765.060;7.343.427.611.446.130;6.19;4.901.528.464.850.150;17.842.608.487.219.300
North Tylerburgh;;;;
4.985.623.049.614.860;70.801.537.391.746.400;5.38;5.152.883.585.214.400;105.054.131.394.844
"DPO AP 20812""";;;;
6.838.698.249.734.810;68.087.145.741.444.100;2.11;37.894.649.678.955.400;13.892.236.071.214.700
"FPO AA 45652-4890""";;;;
7.828.895.758.836.340;79.126.747.553.494.800;5.17;2.919.733.649.535.910;1.423.908.257.928.100
"FPO AP 10092-3601""";;;;
6.076.246.566.267.000;8.298.090.336.113.190;3.05;4.630.336.459.532.380;10.692.384.997.052.500
West Stacey;;;;
5.891.330.314.891.570;7.994.488.630.254.450;3.21;45.563.717.013.846.000;1.007.856.266.240.040
Joyceland;;;;
6.558.005.596.629.340;65.612.042.769.579.400;3.0;48.220.315.233.427.400;9.243.461.648.024.160
Mccartyside;;;;
7.702.141.650.498.190;7.665.643.100.697.550;3.35;2.785.539.454.191.600;14.533.124.679.297.900
North Cheryl;;;;
7.827.657.242.739.040;5.218.507.156.074.950;4.27;21.371.923.786.956.200;7.826.560.804.195.700
Port Brianshire;;;;
7.133.615.008.440.000;7.701.407.168.570.430;3.22;25.377.136.744.577.100;8.036.891.519.380.850
West Christinahaven;;;;
7.752.812.300.033.760;7.739.400.145.553.530;4.26;239.767.138.535.978;14.398.756.398.384.800
Davischester;;;;
6.819.503.374.937.140;7.801.897.068.741.280;6.11;26.921.603.646.529.200;1.270.869.783.171.920
Port Patriciaberg;;;;
7.083.402.071.071.150;7.481.930.315.739.850;5.47;5.349.013.478.404.240;1.347.279.207.217.470
East Lorihaven;;;;
9.467.004.591.605.550;8.340.524.424.782.560;4.41;3.952.290.957.037.140;21.861.947.925.734.200
Port Lisa;;;;
48.524.427.690.013.600;6.604.115.957.731.760;2.13;41.554.070.402.946.000;1.082.486.679.285.120
Port Justinchester;;;;
8.340.344.524.581.350;9.404.851.241.028.100;3.32;26.319.720.009.853.600;17.001.096.075.385.200
"FPO AA 04299""";;;;
7.521.909.501.681.030;6.614.439.023.554.390;3.36;3.786.358.217.694.540;1.623.100.839.875.620
Port Greg;;;;
6.814.592.038.573.080;5.786.855.348.445.020;3.22;3.918.776.583.261.410;9.433.094.486.039.540
Gutierrezfort;;;;
8.491.397.675.488.080;65.147.002.611.153.000;2.17;46.136.029.901.116.300;14.096.844.851.189.100
Wallaceland;;;;
8.233.699.245.357.400;6.289.606.881.113.920;3.06;379.653.742.068.789;13.264.816.746.851.500
Taylorton;;;;
5.196.216.124.103.680;6.977.103.331.552.930;3.07;17.403.090.747.900.300;40.464.360.224.269.300
Allenshire;;;;
5.716.941.546.482.960;6.373.969.072.487.640;4.36;479.669.168.301.658;11.766.550.853.813.100
Davisside;;;;
57.925.044.699.705.700;69.888.177.423.802.200;2.33;43.867.844.544.727.700;6.338.759.302.099.620
North Tinaborough;;;;
7.790.582.718.934.210;7.881.143.831.944.990;6.0;29.282.573.814.085.400;1.390.251.419.934.080
"APO AP 20327""";;;;
